aer,thKO,subs,target,KOs,dh,YPS,SSP,SOC
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,GLUDyswap,1.6043,0.64609,0.006801
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,GNDswap,1.64,0.60085,0.0063247
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,GTHOrswap,1.6333,0.6095,0.0064158
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,HSDyswap,1.6322,0.61097,0.0064313
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,ICDHyrswap,1.638,0.6035,0.0063527
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,IPMDswap,1.633,0.60992,0.0064202
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,KARA1swap,1.6316,0.61172,0.0064392
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,KARA2swap,1.6336,0.60924,0.006413
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,MDHswap,1.6322,0.61101,0.0064317
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,MTHFDswap,1.6377,0.60387,0.0063566
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,NADH17ppswap,1.6345,0.60801,0.0064001
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,PDHswap,1.6877,0.71477,0.011286
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,PGCDswap,1.6288,0.61533,0.0064771
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASNS2 PFL TKT2,SHK3Drswap,1.6333,0.60958,0.0064167
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,no swap,1.6798,0.61963,0.0065224
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,3OAR100swap,1.6787,0.62122,0.0065391
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,3OAR40swap,1.6787,0.62122,0.0065391
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,3OAR60swap,1.6787,0.62122,0.0065391
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,3OAR80swap,1.6787,0.62122,0.0065391
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,AGPRswap,1.6789,0.62095,0.0065363
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,AKGDHswap,1.6798,0.61963,0.0065224
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,ASADswap,1.6767,0.62442,0.0065728
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,DHDPRyswap,1.6787,0.62128,0.0065398
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,EAR40xswap,1.6808,0.61805,0.0065058
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,EAR60xswap,1.6808,0.61805,0.0065058
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,EAR80xswap,1.6808,0.61805,0.0065058
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,G6PDH2rswap,1.6798,0.61963,0.0065224
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,GAPDswap,1.6817,0.72583,0.0076403
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,GLUDyswap,1.6535,0.65991,0.0069464
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,GNDswap,1.6798,0.61963,0.0065224
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,GTHOrswap,1.7227,0.64781,0.0085238
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,HSDyswap,1.6778,0.62275,0.0065553
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,ICDHyrswap,1.6828,0.61489,0.0064725
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,IPMDswap,1.6785,0.62164,0.0065436
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,KARA1swap,1.6773,0.62354,0.0065636
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,KARA2swap,1.6789,0.62093,0.0065361
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,MDHswap,1.6777,0.62279,0.0065557
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,MTHFDswap,1.6825,0.61528,0.0064766
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,NADH17ppswap,1.6798,0.61963,0.0065224
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,PDHswap,1.6817,0.72583,0.01146
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,PGCDswap,1.6748,0.62734,0.0066036
FALSE,TRUE,EX_glc(e),EX_etoh(e), ASPO5 FBA PFL,SHK3Drswap,1.6787,0.62129,0.0065399
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,no swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,3OAR100swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,3OAR40swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,3OAR60swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,3OAR80swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,AGPRswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,AKGDHswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,ASADswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,DHDPRyswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,EAR40xswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,EAR60xswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,EAR80xswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,G6PDH2rswap,1.8284,0.36147,0.0085611
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,GAPDswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,GLUDyswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,GNDswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,GTHOrswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,HSDyswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,ICDHyrswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,IPMDswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,KARA1swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,KARA2swap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,MDHswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,MTHFDswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,NADH17ppswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,PDHswap,1.8306,0.42057,0.009961
