id	name	metabolites	lower_bound	upper_bound	gene_reaction_rule	subsystem	notes	annotation	objective_coefficient
TKT2	Transketolase	{'e4p_c': -1.0, 'f6p_c': 1.0, 'g3p_c': 1.0, 'xu5p__D_c': -1.0}	-1000.0	1000.0	b2935 or b2465	Pentose Phosphate Pathway	{'original_bigg_ids': ['TKT2']}	{'bigg.reaction': ['TKT2'], 'biocyc': ['META:2TRANSKETO-RXN'], 'ec-code': ['2.2.1.1'], 'kegg.reaction': ['R01830'], 'metanetx.reaction': ['MNXR104869'], 'rhea': ['27627', '27628', '27626', '27629'], 'sbo': 'SBO:0000176'}	
TPI	Triose-phosphate isomerase	{'dhap_c': -1.0, 'g3p_c': 1.0}	-1000.0	1000.0	b3919	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['TPI']}	{'bigg.reaction': ['TPI'], 'biocyc': ['META:TRIOSEPISOMERIZATION-RXN'], 'ec-code': ['5.3.1.1'], 'kegg.reaction': ['R01015'], 'metanetx.reaction': ['MNXR104918'], 'reactome.reaction': ['R-RNO-70481', 'R-MMU-70481', 'R-XTR-70481', 'R-SSC-70481', 'R-GGA-352927', 'R-SCE-70454', 'R-CEL-70481', 'R-PFA-70454', 'R-XTR-70454', 'R-BTA-70481', 'R-BTA-70454', 'R-GGA-352914', 'R-ATH-70481', 'R-CFA-70454', 'R-OSA-70454', 'R-HSA-70481', 'R-DRE-70454', 'R-DME-70481', 'R-OSA-70481', 'R-DRE-70481', 'R-ATH-70454', 'R-HSA-70454', 'R-SSC-70454', 'R-DDI-70454', 'R-SCE-70481', 'R-CFA-70481', 'R-PFA-70481', 'R-DDI-70481', 'R-SPO-70454', 'R-SPO-70481', 'R-RNO-70454', 'R-MMU-70454', 'R-CEL-70454', 'R-GGA-70481', 'R-GGA-70454', 'R-DME-70454'], 'rhea': ['18587', '18588', '18586', '18585'], 'sabiork': ['4'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00747']}	
EX_ac_e	Acetate exchange	{'ac_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_ac_e']}	{'bigg.reaction': ['EX_ac_e'], 'biocyc': ['META:RXN0-1981', 'META:TRANS-RXN0-567'], 'metanetx.reaction': ['MNXR95431'], 'rhea': ['27817', '27814', '27816', '27815'], 'sabiork': ['12184'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09787', 'rxn09866', 'rxn10904', 'rxn08063']}	
EX_acald_e	Acetaldehyde exchange	{'acald_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_acald_e']}	{'bigg.reaction': ['EX_acald_e'], 'metanetx.reaction': ['MNXR95212'], 'reactome.reaction': ['R-HSA-449872'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09700', 'rxn08033', 'rxn13212', 'rxn08032']}	
EX_akg_e	2-Oxoglutarate exchange	{'akg_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_akg_e']}	{'bigg.reaction': ['EX_akg_e'], 'metanetx.reaction': ['MNXR95663'], 'sabiork': ['13794'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn10923', 'rxn08096', 'rxn13220']}	
EX_co2_e	CO2 exchange	{'co2_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_co2_e']}	{'bigg.reaction': ['EX_co2_e'], 'biocyc': ['META:TRANS-RXN0-545'], 'metanetx.reaction': ['MNXR96810'], 'reactome.reaction': ['R-DDI-1247645', 'R-CFA-1237069', 'R-TGU-1247649', 'R-CFA-1237042', 'R-CEL-1247645', 'R-XTR-1237069', 'R-HSA-1247645', 'R-OSA-1237042', 'R-GGA-1237042', 'R-BTA-1247645', 'R-GGA-1247649', 'R-RNO-1247645', 'R-XTR-1247645', 'R-TGU-1237042', 'R-SCE-1247649', 'R-MMU-1247649', 'R-CFA-1247649', 'R-GGA-1247645', 'R-SSC-1247645', 'R-BTA-1237069', 'R-RNO-1237069', 'R-SCE-1237042', 'R-DDI-1247649', 'R-SSC-1237042', 'R-DRE-1247649', 'R-DRE-1237042', 'R-DDI-1237042', 'R-DME-1237042', 'R-MMU-1237042', 'R-SSC-1247649', 'R-TGU-1237069', 'R-BTA-1247649', 'R-CFA-1247645', 'R-RNO-1247649', 'R-HSA-1237069', 'R-CEL-1237069', 'R-DDI-1237069', 'R-MMU-1237069', 'R-DME-1247645', 'R-ATH-1237042', 'R-OSA-1247649', 'R-HSA-1237042', 'R-DRE-1247645', 'R-HSA-1247649', 'R-MMU-1247645', 'R-DME-1237069', 'R-RNO-1237042', 'R-TGU-1247645', 'R-BTA-1237042', 'R-GGA-1237069', 'R-DME-1247649', 'R-SSC-1237069', 'R-DRE-1237069', 'R-ATH-1247649'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn05467', 'rxn08237', 'rxn09706', 'rxn09821', 'rxn09775', 'rxn09876', 'rxn08238', 'rxn09860']}	
EX_etoh_e	Ethanol exchange	{'etoh_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_etoh_e']}	{'bigg.reaction': ['EX_etoh_e'], 'biocyc': ['META:TRANS-RXN0-546'], 'metanetx.reaction': ['MNXR97980'], 'rhea': ['35269', '35267', '35270', '35268'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09683', 'rxn08428', 'rxn09764']}	
EX_for_e	Formate exchange	{'for_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_for_e']}	{'bigg.reaction': ['EX_for_e'], 'biocyc': ['META:TRANS-RXN-1'], 'metanetx.reaction': ['MNXR99620'], 'reactome.reaction': ['R-HSA-6803255'], 'rhea': ['29681', '29680', '29682', '29679'], 'sabiork': ['12483'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09754', 'rxn08525', 'rxn09682', 'rxn08526']}	
EX_fru_e	D-Fructose exchange	{'fru_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_fru_e']}	{'bigg.reaction': ['EX_fru_e'], 'metanetx.reaction': ['MNXR99663'], 'reactome.reaction': ['R-OSA-189222', 'R-XTR-189222', 'R-SCE-189222', 'R-ATH-189222', 'R-RNO-189222', 'R-DME-189222', 'R-TGU-189222', 'R-SSC-189222', 'R-CFA-189222', 'R-DRE-189222', 'R-HSA-189222', 'R-GGA-189222', 'R-BTA-189222', 'R-MMU-189222', 'R-DDI-189222'], 'sabiork': ['13415'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn12996', 'rxn08537']}	
EX_fum_e	Fumarate exchange	{'fum_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_fum_e']}	{'bigg.reaction': ['EX_fum_e'], 'biocyc': ['META:TRANS-RXN0-553'], 'metanetx.reaction': ['MNXR99715'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn08544', 'rxn11013']}	
